feature,iter_1
Age,0.002797060340860572
Sex,0.0
Cholesterol,0.024099243180761298
Heart Rate,0.0
Diabetes,0.0018855944552678963
Family History,0.006251880120162812
Smoking,0.0016503017640582273
Obesity,0.0004469412385162408
Alcohol Consumption,0.0
Exercise Hours Per Week,0.004783202939670345
Diet,0.0077765283698168815
Previous Heart Problems,0.000712720241058037
Medication Use,0.0009651768819820017
Stress Level,0.00950129746271217
Sedentary Hours Per Day,0.018178338521566653
Income,0.0025999308901283355
BMI,0.09587364048606468
Triglycerides,0.0035523007390414916
Physical Activity Days Per Week,0.0075730884409258665
Sleep Hours Per Day,0.0017932554968835821
Country,0.01638207758609113
Continent,0.2793319958203105
Hemisphere,0.010905757158784796
Systolic BP,0.0016806928031082328
Diastolic BP,0.0
