feature,iter_6
Age,0.0022166462557362725
Sex,0.002619499529877734
Cholesterol,0.029023947829772932
Heart Rate,0.00940551951299266
Diabetes,0.0007446779039223458
Family History,0.019123942467289348
Smoking,0.0
Obesity,0.0
Alcohol Consumption,0.018811538080142458
Exercise Hours Per Week,0.0
Diet,0.09946431772404922
Previous Heart Problems,0.07582847699109997
Medication Use,0.0007049959770053238
Stress Level,0.011513849581035834
Sedentary Hours Per Day,0.0064460691614709595
Income,0.0205797804823248
BMI,0.005115853450857634
Triglycerides,0.013087933050790528
Physical Activity Days Per Week,0.010114371303779462
Sleep Hours Per Day,0.003050492977511354
Country,0.007656980030663204
Continent,0.011034229524198155
Hemisphere,0.0016610278881806024
Systolic BP,0.008276209477511415
Diastolic BP,0.14170900962162844
