feature,iter_13
Age,0.0356724253424322
Sex,0.05990298172042316
Cholesterol,0.0325485158276363
Heart Rate,0.01860391651034411
Diabetes,0.0
Family History,0.0
Smoking,0.00834167362167983
Obesity,0.00982114851325082
Alcohol Consumption,0.0038571863350428115
Exercise Hours Per Week,0.02088150393722894
Diet,0.01122184619181437
Previous Heart Problems,0.0
Medication Use,0.009662408316009511
Stress Level,0.03885697506938291
Sedentary Hours Per Day,0.0228922688480442
Income,0.03573739068274079
BMI,0.029180265134165977
Triglycerides,0.00186208100209521
Physical Activity Days Per Week,0.006319847315759841
Sleep Hours Per Day,0.01045079537225971
Country,0.11232088568098782
Continent,0.005913017819884633
Hemisphere,0.007882672814683467
Systolic BP,0.009355188197085341
Diastolic BP,0.007998816291559697
